Summary,Precipitation Type,Temperature,Humidity
Overcast,null,9.4,0.65
Mostly Cloudy,null,15.5,0.55
Mostly Cloudy,null,23.8,0.4
Mostly Cloudy,null,10.0,0.76
Mostly Cloudy,null,9.4,0.77
Mostly Cloudy,null,11.8,0.67
Partly Cloudy,null,10.7,0.77
Mostly Cloudy,null,17.6,0.57
Mostly Cloudy,null,5.4,0.81
Clear,null,3.9,0.84
Clear,null,7.6,0.64
Overcast,null,15.4,0.46
Overcast,null,11.4,0.71
Mostly Cloudy,null,10.5,0.66
Clear,null,5.4,0.81
Foggy,null,4.8,0.94
Clear,null,13.1,0.76
Foggy,null,6.8,0.94
Mostly Cloudy,null,8.3,0.85
Clear,null,3.7,0.86
Mostly Cloudy,null,13.3,0.84
Mostly Cloudy,null,16.1,0.7
Foggy,null,7.4,0.93
Clear,null,2.3,0.83
Clear,null,13.3,0.56
Mostly Cloudy,null,21.2,0.49
Mostly Cloudy,null,12.3,1.0
Clear,null,3.1,0.85
Mostly Cloudy,null,12.3,0.77
Mostly Cloudy,null,9.7,0.75
Clear,null,9.4,0.67
Clear,null,2.8,0.86
Partly Cloudy,null,17.4,0.48
Partly Cloudy,null,7.0,0.94
Mostly Cloudy,null,7.9,0.83
Clear,null,9.2,0.82
Clear,null,12.7,0.67
Mostly Cloudy,null,13.9,0.58
Mostly Cloudy,null,12.2,0.65
Mostly Cloudy,null,9.4,0.72
Mostly Cloudy,null,17.4,0.68
Mostly Cloudy,null,12.9,0.47
Mostly Cloudy,null,9.4,0.77
Mostly Cloudy,null,8.1,0.75
Overcast,null,14.4,0.58
Mostly Cloudy,null,11.5,0.71
Clear,null,7.2,0.76
Partly Cloudy,null,7.8,0.85
Clear,null,9.8,0.9
Clear,null,10.7,0.87
Clear,null,11.7,0.57
Partly Cloudy,null,11.8,0.62
Clear,null,4.5,0.95
Partly Cloudy,null,9.0,0.83
Mostly Cloudy,null,10.2,0.74
Mostly Cloudy,null,15.6,0.72
Overcast,null,9.2,0.81
Mostly Cloudy,null,10.1,0.61
Clear,null,5.4,0.7
Overcast,null,10.1,0.94
Overcast,null,8.9,0.73
Clear,null,11.7,0.83
Mostly Cloudy,null,15.2,0.61
Partly Cloudy,null,9.7,0.8
Partly Cloudy,null,6.9,0.77
Mostly Cloudy,null,12.1,0.58
Mostly Cloudy,null,10.1,0.67
Mostly Cloudy,null,10.9,0.76
Clear,null,5.4,0.77
Mostly Cloudy,null,7.1,0.92
Clear,null,9.7,0.73
Clear,null,3.5,0.78
Overcast,null,8.0,0.75
Partly Cloudy,null,7.3,0.89
Mostly Cloudy,null,11.2,0.63
Clear,null,2.0,0.91
Mostly Cloudy,null,7.4,0.86
Overcast,null,17.2,0.37
Partly Cloudy,null,8.7,0.9
Clear,null,11.8,0.55
Mostly Cloudy,null,12.1,0.85
Overcast,null,9.1,0.76
Overcast,null,14.0,0.61
Clear,null,3.5,0.85
Mostly Cloudy,null,25.0,0.34
Partly Cloudy,null,11.4,0.71
Mostly Cloudy,null,13.8,0.84
Clear,null,7.2,0.72
Clear,null,7.2,0.8
Mostly Cloudy,null,8.7,0.8
Mostly Cloudy,null,11.8,0.63
Mostly Cloudy,null,7.1,0.78
Foggy,null,4.1,0.91
Partly Cloudy,null,11.3,0.65
Partly Cloudy,null,20.0,0.45
Mostly Cloudy,null,8.7,0.67
Overcast,null,7.7,0.79
Overcast,null,9.9,0.88
Partly Cloudy,null,10.2,0.64
Clear,null,9.9,0.59
Partly Cloudy,null,16.2,0.41
Foggy,null,7.8,0.94
Mostly Cloudy,null,11.8,0.68
Mostly Cloudy,null,15.0,0.72
Partly Cloudy,null,17.6,0.63
Mostly Cloudy,null,12.8,0.63
Partly Cloudy,null,17.7,0.61
Mostly Cloudy,null,9.7,0.66
Overcast,null,10.1,0.94
Partly Cloudy,null,11.2,0.82
Mostly Cloudy,null,14.5,0.8
Partly Cloudy,null,20.1,0.63
Clear,null,6.0,0.83
Partly Cloudy,null,7.0,0.85
Overcast,null,11.5,0.83
Mostly Cloudy,null,16.1,0.7
Partly Cloudy,null,22.6,0.54
Mostly Cloudy,null,11.8,0.74
Clear,null,11.3,0.56
Clear,null,11.8,0.55
Foggy,null,3.5,0.94
Foggy,null,6.2,0.9
Clear,null,3.7,0.84
Mostly Cloudy,null,9.9,0.72
Clear,null,9.1,0.91
Partly Cloudy,null,5.3,0.86
Clear,null,10.6,0.96
Overcast,null,7.5,0.7
Clear,null,7.7,0.75
Clear,null,2.5,0.9
Mostly Cloudy,null,5.2,0.86
Mostly Cloudy,null,7.1,0.89
Foggy,null,6.4,0.95
Mostly Cloudy,null,18.2,0.68
Partly Cloudy,null,16.9,0.61
Mostly Cloudy,null,11.0,0.85
Partly Cloudy,null,9.5,0.76
Clear,null,7.3,0.84
Mostly Cloudy,null,17.6,0.69
Mostly Cloudy,null,14.3,0.65
Partly Cloudy,null,4.8,0.94
Clear,null,4.4,0.79
Mostly Cloudy,null,13.6,0.57
Mostly Cloudy,null,19.8,0.64
Foggy,null,8.0,0.92
Clear,null,14.6,0.8
Mostly Cloudy,null,10.3,0.87
Mostly Cloudy,null,7.3,0.84
Partly Cloudy,null,6.6,0.8
Mostly Cloudy,null,12.4,0.68
Clear,null,1.3,0.86
Clear,null,2.8,0.86
Partly Cloudy,null,9.8,0.79
Partly Cloudy,null,20.3,0.47
Partly Cloudy,null,6.6,0.85
Mostly Cloudy,null,15.0,0.52
Partly Cloudy,null,16.2,0.43
Partly Cloudy,null,16.2,0.58
Partly Cloudy,null,6.3,0.9
Overcast,null,11.2,0.94
Mostly Cloudy,null,11.5,0.85
Overcast,null,7.0,0.73
Clear,null,4.8,0.82
Overcast,null,15.3,0.58
Mostly Cloudy,null,17.8,0.6
Mostly Cloudy,null,8.1,0.82
Clear,null,6.8,0.75
Partly Cloudy,null,17.2,0.67
Partly Cloudy,null,13.0,0.68
Overcast,null,8.5,0.77
Partly Cloudy,null,7.1,0.91
Clear,null,1.5,0.86
Mostly Cloudy,null,14.4,0.79
Mostly Cloudy,null,17.1,0.67
Clear,null,5.2,0.79
Overcast,null,7.5,0.8
Overcast,null,17.9,0.36
Mostly Cloudy,null,16.2,0.52
Clear,null,3.8,0.86
Mostly Cloudy,null,6.3,0.88
Clear,null,10.0,0.7
Mostly Cloudy,null,7.5,0.88
Partly Cloudy,null,8.6,0.83
Overcast,null,7.8,0.96
Overcast,null,7.9,0.7
Partly Cloudy,null,13.4,0.61
Mostly Cloudy,null,8.9,0.74
Foggy,null,5.4,0.88
Mostly Cloudy,null,16.7,0.74
Partly Cloudy,null,17.5,0.56
Clear,null,1.9,0.89
Overcast,null,10.0,0.89
Partly Cloudy,null,12.3,0.75
Partly Cloudy,null,19.9,0.46
Partly Cloudy,null,16.2,0.47
Clear,null,8.2,0.83
Clear,null,13.5,0.59
Clear,null,6.5,0.82
Mostly Cloudy,null,6.3,0.91
Overcast,null,12.4,0.67
Clear,null,12.4,0.68
Partly Cloudy,null,13.0,0.62
Clear,null,8.3,0.86
Clear,null,5.6,0.78
Mostly Cloudy,null,11.5,0.69
Clear,null,1.9,0.84
Overcast,null,7.3,0.78
Overcast,null,11.9,0.7
Partly Cloudy,null,7.9,0.69
Mostly Cloudy,null,4.7,0.9
Partly Cloudy,null,16.4,0.69
Mostly Cloudy,null,12.7,0.72
Foggy,null,4.9,0.93
Mostly Cloudy,null,19.0,0.47
Foggy,null,3.9,0.9
Mostly Cloudy,null,25.0,0.45
Mostly Cloudy,null,19.1,0.5
Mostly Cloudy,null,7.3,0.82
Clear,null,6.9,0.81
Partly Cloudy,null,12.2,0.64
Partly Cloudy,null,15.2,0.5
Clear,null,4.7,0.8
Clear,null,3.9,0.84
Partly Cloudy,null,20.0,0.45
Clear,null,13.7,0.84
Mostly Cloudy,null,21.0,0.38
Overcast,null,13.9,0.75
Clear,null,17.2,0.68
Partly Cloudy,null,21.1,0.38
Mostly Cloudy,null,10.1,0.76
Partly Cloudy,null,4.7,0.83
Partly Cloudy,null,8.0,0.7
Overcast,null,7.2,0.79
Mostly Cloudy,null,19.0,0.26
Mostly Cloudy,null,13.4,0.77
Mostly Cloudy,null,10.9,0.9
Overcast,null,11.7,0.7
Partly Cloudy,null,10.0,0.65
Clear,null,11.5,0.69
Partly Cloudy,null,14.6,0.6
Mostly Cloudy,null,10.7,0.64
Mostly Cloudy,null,8.6,0.79
Clear,null,13.0,0.54
Overcast,null,7.8,0.9
Foggy,null,3.5,0.92
Clear,null,6.1,0.84
Mostly Cloudy,null,9.8,0.76
Overcast,null,11.2,0.96
Clear,null,4.6,0.95
Partly Cloudy,null,9.4,0.69
Clear,null,3.6,0.86
Partly Cloudy,null,7.3,0.86
Partly Cloudy,null,7.4,0.88
Overcast,null,8.2,0.76
Mostly Cloudy,null,4.3,0.93
Mostly Cloudy,null,10.5,0.69
Partly Cloudy,null,10.5,0.75
Partly Cloudy,null,5.3,0.93
Clear,null,12.7,0.56
Clear,null,10.5,0.65
Clear,null,6.3,0.74
Clear,null,5.7,0.8
Mostly Cloudy,null,10.6,0.85
Clear,null,10.9,0.71
Mostly Cloudy,null,13.2,0.7
Overcast,null,9.0,0.79
Mostly Cloudy,null,19.8,0.63
Mostly Cloudy,null,7.1,0.83
Clear,null,3.8,0.81
Partly Cloudy,null,6.5,0.83
Mostly Cloudy,null,8.3,0.8
Partly Cloudy,null,13.2,0.63
Overcast,null,8.3,0.79
Mostly Cloudy,null,17.9,0.57
Partly Cloudy,null,12.8,0.64
Partly Cloudy,null,12.7,0.79
Overcast,null,8.7,0.78
Clear,null,10.2,0.65
Partly Cloudy,null,6.7,0.9
Clear,null,10.7,0.72
Overcast,null,7.4,0.79
Overcast,null,6.9,0.76
Clear,null,11.6,0.73
Overcast,null,9.1,0.67
Mostly Cloudy,null,12.7,0.85
Clear,null,9.6,0.71
Partly Cloudy,null,21.0,0.38
Foggy,null,4.2,0.87
Mostly Cloudy,null,8.8,0.83
Mostly Cloudy,null,17.1,0.65
Mostly Cloudy,null,7.4,0.9
Mostly Cloudy,null,20.0,0.66
Clear,null,3.6,0.85
Mostly Cloudy,null,18.9,0.61
Partly Cloudy,null,9.7,0.73
Overcast,null,12.5,0.92
Mostly Cloudy,null,17.9,0.6
Partly Cloudy,null,6.0,0.86
Clear,null,4.7,0.8
Mostly Cloudy,null,9.8,0.77
Overcast,null,17.3,0.38
Overcast,null,11.6,0.71
Mostly Cloudy,null,11.6,0.85
Overcast,null,10.6,0.87
Clear,null,1.9,0.87
Clear,null,5.1,0.84
Clear,null,4.9,0.79
Mostly Cloudy,null,17.2,0.59
Clear,null,2.9,0.81
Clear,null,16.7,0.72
Overcast,null,12.8,0.96
Overcast,null,11.3,1.0
Partly Cloudy,null,16.4,0.55
Clear,null,2.2,0.87
Partly Cloudy,null,13.5,0.72
Mostly Cloudy,null,10.1,0.75
Mostly Cloudy,null,7.6,0.87
Mostly Cloudy,null,14.9,0.7
Partly Cloudy,null,7.4,0.78
Mostly Cloudy,null,7.9,0.8
Mostly Cloudy,null,12.0,0.67
Mostly Cloudy,null,11.6,0.8
Mostly Cloudy,null,6.3,0.79
Partly Cloudy,null,3.5,0.9
Mostly Cloudy,null,8.5,0.76
Mostly Cloudy,null,15.7,0.59
Foggy,null,6.7,0.86
Clear,null,14.7,0.8
Mostly Cloudy,null,17.8,0.42
Partly Cloudy,null,6.9,0.93
Foggy,null,4.2,0.93
Partly Cloudy,null,18.9,0.54
Mostly Cloudy,null,5.3,0.83
Partly Cloudy,null,10.0,0.82
Mostly Cloudy,null,10.7,0.73
Clear,null,1.9,0.88
Clear,null,8.1,0.7
Clear,null,12.5,0.79
Mostly Cloudy,null,8.2,0.8
Mostly Cloudy,null,13.6,0.6
Overcast,null,10.0,0.87
Clear,null,10.1,0.59
Clear,null,3.4,0.85
Overcast,null,10.2,0.9
Overcast,null,10.0,0.9
Mostly Cloudy,null,13.5,0.71
Partly Cloudy,null,7.0,0.92
Partly Cloudy,null,17.0,0.55
Partly Cloudy,null,16.3,0.55
Overcast,null,7.8,0.75
Partly Cloudy,null,7.7,0.9
Clear,null,11.7,0.6
Mostly Cloudy,null,7.4,0.89
Clear,null,6.7,0.77
Overcast,null,10.6,0.87
Mostly Cloudy,null,7.2,0.82
Clear,null,4.8,0.84
Mostly Cloudy,null,11.6,0.66
Foggy,null,7.5,0.84
Partly Cloudy,null,15.1,0.79
Clear,null,9.3,0.69
Partly Cloudy,null,6.9,0.92
Clear,null,6.3,0.77
Foggy,null,6.1,0.95
Mostly Cloudy,null,13.5,0.82
Mostly Cloudy,null,10.9,0.72
Partly Cloudy,null,22.1,0.56
Foggy,null,6.1,0.95
Mostly Cloudy,null,11.4,0.75
Clear,null,10.2,0.86
Partly Cloudy,null,15.0,0.62
Partly Cloudy,null,9.4,0.77
Mostly Cloudy,null,12.0,0.68
Partly Cloudy,null,16.9,0.75
Clear,null,4.3,0.96
Foggy,null,4.8,0.91
Clear,null,7.5,0.84
Overcast,null,9.9,0.86
Mostly Cloudy,null,9.9,0.79
Clear,null,7.3,0.76
Partly Cloudy,null,17.2,0.42
Mostly Cloudy,null,9.6,0.66
Partly Cloudy,null,12.1,0.68
Foggy,null,7.1,0.88
Mostly Cloudy,null,12.2,0.7
Mostly Cloudy,null,10.1,0.87
Mostly Cloudy,null,5.3,0.85
Mostly Cloudy,null,10.6,0.82
Mostly Cloudy,null,9.3,0.89
Overcast,null,11.7,0.94
Clear,null,7.3,0.71
Partly Cloudy,null,4.5,0.86
Clear,null,6.6,0.74
Foggy,null,3.7,0.95
Overcast,null,7.3,0.93
Foggy,null,6.0,0.86
Overcast,null,9.0,0.89
Mostly Cloudy,null,12.7,0.57
Foggy,null,4.4,0.9
Clear,null,4.2,0.96
Overcast,null,11.5,0.73
Mostly Cloudy,null,16.3,0.32
Overcast,null,13.2,0.8
Mostly Cloudy,null,12.6,0.58
Overcast,null,7.1,0.8
Clear,null,4.1,0.84
Overcast,null,10.0,0.69
Foggy,null,4.1,0.96
Partly Cloudy,null,14.1,0.82
Clear,null,8.2,0.77
Partly Cloudy,null,6.7,0.94
Clear,null,5.8,0.9
Clear,null,3.7,0.83
Mostly Cloudy,null,5.9,0.82
Partly Cloudy,null,11.9,0.67
Overcast,null,6.3,0.94
Foggy,null,8.5,0.92
Mostly Cloudy,null,10.9,0.72
Clear,null,12.8,0.67
Mostly Cloudy,null,21.2,0.42
Overcast,null,16.1,0.57
Mostly Cloudy,null,6.2,0.92
Clear,null,2.1,0.84
Mostly Cloudy,null,11.1,0.64
Clear,null,12.0,0.68
Mostly Cloudy,null,11.1,0.72
Partly Cloudy,null,14.9,0.77
Partly Cloudy,null,6.2,0.86
Mostly Cloudy,null,16.1,0.65
Mostly Cloudy,null,9.4,0.82
Clear,null,8.4,0.75
Clear,null,12.0,0.68
Foggy,null,6.7,0.96
Overcast,null,9.8,0.91
Overcast,null,8.4,0.77
Partly Cloudy,null,14.0,0.77
Mostly Cloudy,null,9.9,0.77
Mostly Cloudy,null,12.0,0.62
Clear,null,8.7,0.64
Mostly Cloudy,null,12.0,0.87
Clear,null,9.2,0.77
Overcast,null,10.4,0.74
Mostly Cloudy,null,18.0,0.71
Mostly Cloudy,null,9.1,0.77
Clear,null,16.0,0.75
Overcast,null,17.8,0.4
Mostly Cloudy,null,9.0,0.82
Mostly Cloudy,null,15.1,0.59
Partly Cloudy,null,12.5,0.52
Mostly Cloudy,null,5.9,0.8
Mostly Cloudy,null,12.7,0.85
Mostly Cloudy,null,17.7,0.65
Foggy,null,8.1,0.84
Mostly Cloudy,null,15.7,0.59
Overcast,null,17.9,0.37
Overcast,null,9.0,0.93
Mostly Cloudy,null,12.1,0.87
Overcast,null,8.9,0.76
Partly Cloudy,null,6.1,0.89
Mostly Cloudy,null,12.6,0.43
Clear,null,8.2,0.73
Overcast,null,16.1,0.63
Clear,null,4.5,0.84
Mostly Cloudy,null,6.4,0.91
Mostly Cloudy,null,19.0,0.64
Mostly Cloudy,null,10.7,0.78
Overcast,null,14.9,0.43
Overcast,null,13.1,0.67
Mostly Cloudy,null,20.1,0.43
Clear,null,1.5,0.85
Partly Cloudy,null,11.1,0.76
Clear,null,11.1,0.61
Mostly Cloudy,null,13.9,0.59
Mostly Cloudy,null,12.3,0.58
Foggy,null,5.9,0.92
Clear,null,14.2,0.54
Mostly Cloudy,null,13.7,0.78
Mostly Cloudy,null,17.8,0.28
Mostly Cloudy,null,12.4,0.72
Partly Cloudy,null,2.5,0.93
Clear,null,14.0,0.56
Clear,null,12.2,0.64
Mostly Cloudy,null,10.7,0.7
Mostly Cloudy,null,15.4,0.77
Partly Cloudy,null,20.9,0.6
Mostly Cloudy,null,21.3,0.43
Foggy,null,6.2,0.94
Clear,null,7.0,0.71
Mostly Cloudy,null,12.1,0.7
Clear,null,6.4,0.78
Clear,null,3.9,0.81
Mostly Cloudy,null,14.2,0.55
Overcast,null,8.5,0.84
Overcast,null,15.0,0.64
Mostly Cloudy,null,9.7,0.83
Partly Cloudy,null,8.0,0.68
Clear,null,12.6,0.67
Clear,null,5.5,0.8
Overcast,null,7.2,0.8
Mostly Cloudy,null,12.7,0.79
Clear,null,6.3,0.75
Clear,null,7.0,0.84
Foggy,null,7.0,0.96
Overcast,null,7.2,0.78
Overcast,null,7.2,0.74
Mostly Cloudy,null,9.0,0.76
Overcast,null,9.4,0.75
Mostly Cloudy,null,19.1,0.67
Partly Cloudy,null,12.5,0.71
Overcast,null,14.0,0.62
Overcast,null,7.8,0.9
Mostly Cloudy,null,12.9,0.61
Mostly Cloudy,null,12.8,0.85
Mostly Cloudy,null,5.8,0.92
Overcast,null,7.7,0.85
Mostly Cloudy,null,11.1,0.71
Overcast,null,11.7,0.94
